IDX,USER_QUERY,IS_VALID,MATCH,NUM_FILTERS_EXP,FILTERS_EXP,OPERATORS_EXP,VALUES_EXP,NUM_FILTERS_ACT,FILTERS_ACT,OPERATORS_ACT,VALUES_ACT
0,"I am interested in maintenance orders that are scheduled to start on or after June 1, 2019.",F,FilterCriteria does not match.,NUM_FILTERS,FILTERS,OPERATORS,VALUES,NUM_FILTERS,FILTERS,OPERATORS,VALUES
,,,SelectProperties does not match.,1,MaintOrdSchedBscStartDateTime,ge,datetimeoffset'2019-06-01T00:00:00',1,MaintOrdSchedBasicStartDate,ge,2019-06-01
,,,,,,,,,,,
,,,,,,,,,,,
1,"Show me tasks that should be completed on or before October 22, 2028.",F,FilterCriteria does not match.,NUM_FILTERS,FILTERS,OPERATORS,VALUES,NUM_FILTERS,FILTERS,OPERATORS,VALUES
,,,SelectProperties does not match.,1,LatestAcceptableCompletionDate,le,datetime'2028-10-22T00:00:00',1,LatestAcceptableCompletionDate,le,2028-10-22
,,,,,,,,,,,
,,,,,,,,,,,
2,"Can you provide the maintenance orders that were referenced on or after March 11, 2021?",F,FilterCriteria does not match.,NUM_FILTERS,FILTERS,OPERATORS,VALUES,NUM_FILTERS,FILTERS,OPERATORS,VALUES
,,,SelectProperties does not match.,1,MaintOrderReferenceDateTime,ge,datetimeoffset'2021-03-11T00:00:00',1,MaintOrderReferenceDate,ge,2021-03-11
,,,,,,,,,,,
,,,,,,,,,,,
3,Can you provide me the maintenance orders that do not have any open reservations?,T,SelectProperties does not match.,NUM_FILTERS,FILTERS,OPERATORS,VALUES,NUM_FILTERS,FILTERS,OPERATORS,VALUES
,,,,1,MaintOrderHasOpenReservations,eq,false,1,MaintOrderHasOpenReservations,eq,false
,,,,,,,,,,,
,,,,,,,,,,,
4,Could you fetch the tasks that have a maintenance priority labeled as 'High'?,F,FilterCriteria does not match.,NUM_FILTERS,FILTERS,OPERATORS,VALUES,NUM_FILTERS,FILTERS,OPERATORS,VALUES
,,,SelectProperties does not match.,1,MaintPriority,eq,'2',1,MaintPriority,eq,'1'
,,,,,,,,,,,
,,,,,,,,,,,
5,Kindly show me the data for the company with the code 1010.,T,SelectProperties does not match.,NUM_FILTERS,FILTERS,OPERATORS,VALUES,NUM_FILTERS,FILTERS,OPERATORS,VALUES
,,,,1,CompanyCode,eq,'1010',1,CompanyCode,eq,'1010'
,,,,,,,,,,,
,,,,,,,,,,,
6,Can you show me the profiles where the status hasn't been set or is currently unavailable?,F,FilterCriteria does not match.,NUM_FILTERS,FILTERS,OPERATORS,VALUES,NUM_FILTERS,FILTERS,OPERATORS,VALUES
,,,SelectProperties does not match.,1,StatusProfile,eq,'',5,MaintenanceProcessingPhase,ne,'0'
,,,,,,,,,MaintenanceProcessingPhase,ne,'2'
,,,,,,,,,MaintenanceProcessingPhase,ne,'3'
,,,,,,,,,MaintenanceProcessingPhase,ne,'4'
,,,,,,,,,MaintenanceProcessingPhase,ne,'6'
7,Can you provide the maintenance orders that no longer have any open reservations?,T,SelectProperties does not match.,NUM_FILTERS,FILTERS,OPERATORS,VALUES,NUM_FILTERS,FILTERS,OPERATORS,VALUES
,,,,1,MaintOrderHasOpenReservations,eq,false,1,MaintOrderHasOpenReservations,eq,false
,,,,,,,,,,,
,,,,,,,,,,,
8,Can you show me the orders that have long text in them?,T,SelectProperties does not match.,NUM_FILTERS,FILTERS,OPERATORS,VALUES,NUM_FILTERS,FILTERS,OPERATORS,VALUES
,,,,1,OrderHasLongText,eq,true,1,OrderHasLongText,eq,true
,,,,,,,,,,,
,,,,,,,,,,,
9,Could you provide the maintenance orders that have been definitively confirmed?,T,SelectProperties does not match.,NUM_FILTERS,FILTERS,OPERATORS,VALUES,NUM_FILTERS,FILTERS,OPERATORS,VALUES
,,,,1,MaintOrderIsFinallyConfirmed,eq,true,1,MaintOrderIsFinallyConfirmed,eq,true
,,,,,,,,,,,
,,,,,,,,,,,
10,Can you get me the details of the maintenance orders that do not have any open reservations?,T,SelectProperties does not match.,NUM_FILTERS,FILTERS,OPERATORS,VALUES,NUM_FILTERS,FILTERS,OPERATORS,VALUES
,,,,1,MaintOrderHasOpenReservations,eq,false,1,MaintOrderHasOpenReservations,eq,false
,,,,,,,,,,,
,,,,,,,,,,,
11,Can you look for the plant section for which the responsible person's contact phone number is 345-678-9012?,T,SelectProperties does not match.,NUM_FILTERS,FILTERS,OPERATORS,VALUES,NUM_FILTERS,FILTERS,OPERATORS,VALUES
,,,,1,PlantSectionPersonRespPhone,eq,'345-678-9012',1,PlantSectionPersonRespPhone,eq,'345-678-9012'
,,,,,,,,,,,
,,,,,,,,,,,
12,Can you fetch the data where the Asset Room is listed as the Attic?,T,SelectProperties does not match.,NUM_FILTERS,FILTERS,OPERATORS,VALUES,NUM_FILTERS,FILTERS,OPERATORS,VALUES
,,,,1,AssetRoom,eq,'Attic',1,AssetRoom,eq,'Attic'
,,,,,,,,,,,
,,,,,,,,,,,
13,Can you show me the data where the maintenance priority is set at 'Very High'?,F,FilterCriteria does not match.,NUM_FILTERS,FILTERS,OPERATORS,VALUES,NUM_FILTERS,FILTERS,OPERATORS,VALUES
,,,SelectProperties does not match.,1,MaintPriority,eq,'1',1
,,,,,,,,,,,
,,,,,,,,,,,
15,"Could you find me the system statuses that are currently in the state of created, customer service, no material, and processing?",F,FilterCriteria does not match.,NUM_FILTERS,FILTERS,OPERATORS,VALUES,NUM_FILTERS,FILTERS,OPERATORS,VALUES
,,,SelectProperties does not match.,1,ConcatenatedActiveSystStsName,eq,'CRTD,CSER,NMAT,PRC',1
,,,,,,,,,,,
,,,,,,,,,,,
16,Could you fetch the records where the status profile is not set or currently unavailable?,F,FilterCriteria does not match.,NUM_FILTERS,FILTERS,OPERATORS,VALUES,NUM_FILTERS,FILTERS,OPERATORS,VALUES
,,,SelectProperties does not match.,1,StatusProfile,eq,'',1
,,,,,,,,,,,
,,,,,,,,,,,
17,Can you find the records where the transport operations status is partially on hold?,F,FilterCriteria does not match.,NUM_FILTERS,FILTERS,OPERATORS,VALUES,NUM_FILTERS,FILTERS,OPERATORS,VALUES
,,,SelectProperties does not match.,1,ConcatenatedOrderPhaseCtrlText,eq,'TPOH',0
18,"Can you show me the records where the local account assignment company code is '1010', indicating 'Company Code 1010'?",T,SelectProperties does not match.,NUM_FILTERS,FILTERS,OPERATORS,VALUES,NUM_FILTERS,FILTERS,OPERATORS,VALUES
,,,,1,LocAcctAssgmtCompanyCode,eq,'1010',1,LocAcctAssgmtCompanyCode,eq,'1010'
,,,,,,,,,,,
,,,,,,,,,,,
19,Can you provide the data where the local account assignment company code is '1010' indicating 'Company Code 1010'?,T,SelectProperties does not match.,NUM_FILTERS,FILTERS,OPERATORS,VALUES,NUM_FILTERS,FILTERS,OPERATORS,VALUES
,,,,1,LocAcctAssgmtCompanyCode,eq,'1010',1,LocAcctAssgmtCompanyCode,eq,'1010'
,,,,,,,,,,,
,,,,,,,,,,,
20,Can you find me the maintenance tasks that are currently in an 'Outstanding' phase?,T,SelectProperties does not match.,NUM_FILTERS,FILTERS,OPERATORS,VALUES,NUM_FILTERS,FILTERS,OPERATORS,VALUES
,,,,1,MaintenanceProcessingPhase,eq,'0',1,MaintenanceProcessingPhase,eq,'0'
,,,,,,,,,,,
,,,,,,,,,,,
21,Kindly display data where the maintenance order process phase code is not specified.,F,FilterCriteria does not match.,NUM_FILTERS,FILTERS,OPERATORS,VALUES,NUM_FILTERS,FILTERS,OPERATORS,VALUES
,,,SelectProperties does not match.,1,MaintOrdProcessPhaseCode,eq,'',1,MaintenanceProcessingPhase,eq,null
,,,,,,,,,,,
,,,,,,,,,,,
22,Show me the data related to the city named Walldorf.,T,SelectProperties does not match.,NUM_FILTERS,FILTERS,OPERATORS,VALUES,NUM_FILTERS,FILTERS,OPERATORS,VALUES
,,,,1,CityName,eq,'Walldorf',1,CityName,eq,'Walldorf'
,,,,,,,,,,,
,,,,,,,,,,,
23,Can you show me the data where the profile status has not been set or is currently unavailable?,F,FilterCriteria does not match.,NUM_FILTERS,FILTERS,OPERATORS,VALUES,NUM_FILTERS,FILTERS,OPERATORS,VALUES
,,,SelectProperties does not match.,1,StatusProfile,eq,'',1
,,,,,,,,,,,
,,,,,,,,,,,
24,Could you show me the records that have a high maintenance priority?,F,FilterCriteria does not match.,NUM_FILTERS,FILTERS,OPERATORS,VALUES,NUM_FILTERS,FILTERS,OPERATORS,VALUES
,,,SelectProperties does not match.,1,MaintPriority,eq,'2',1,MaintPriority,eq,'1'
,,,,,,,,,,,
,,,,,,,,,,,
25,Kindly provide me with the records where the settlement order is exactly the fourth one established.,T,SelectProperties does not match.,NUM_FILTERS,FILTERS,OPERATORS,VALUES,NUM_FILTERS,FILTERS,OPERATORS,VALUES
,,,,1,SettlementOrder,eq,'4',1,SettlementOrder,eq,'4'
,,,,,,,,,,,
,,,,,,,,,,,
26,Can you provide me with the records where the equipment used is a Wheel Loader?,F,FilterCriteria does not match.,NUM_FILTERS,FILTERS,OPERATORS,VALUES,NUM_FILTERS,FILTERS,OPERATORS,VALUES
,,,SelectProperties does not match.,1,Equipment,eq,'WheelLoader',1
,,,,,,,,,,,
,,,,,,,,,,,
27,Could you please show me the data associated with the plant named Lily?,F,FilterCriteria does not match.,NUM_FILTERS,FILTERS,OPERATORS,VALUES,NUM_FILTERS,FILTERS,OPERATORS,VALUES
,,,SelectProperties does not match.,1,PlantName,eq,'Lily',1,MaintenancePlanningPlantName,eq,'Lily'
,,,,,,,,,,,
,,,,,,,,,,,
28,"Can you provide the records which were created by the user with ID 'CB9980002492', who is known as 'Jaw'?",T,SelectProperties does not match.,NUM_FILTERS,FILTERS,OPERATORS,VALUES,NUM_FILTERS,FILTERS,OPERATORS,VALUES
,,,,1,CreatedByUser,eq,'CB9980002492',1,CreatedByUser,eq,'CB9980002492'
,,,,,,,,,,,
,,,,,,,,,,,
29,"Could you provide data for maintenance orders scheduled to start on or before August 24, 2021?",F,FilterCriteria does not match.,NUM_FILTERS,FILTERS,OPERATORS,VALUES,NUM_FILTERS,FILTERS,OPERATORS,VALUES
,,,SelectProperties does not match.,1,MaintOrdBasicStartDateTime,le,datetimeoffset'2021-08-24T00:00:00',1,ScheduledBasicStartDate,le,2021-08-24
,,,,,,,,,,,
,,,,,,,,,,,
30,Could you kindly give me the data where Emily Davis is responsible for the maintenance order?,F,FilterCriteria does not match.,NUM_FILTERS,FILTERS,OPERATORS,VALUES,NUM_FILTERS,FILTERS,OPERATORS,VALUES
,,,SelectProperties does not match.,1,MaintOrdPersonResponsible,eq,'EmilyDavis',1
,,,,,,,,,,,
,,,,,,,,,,,
