IDX,USER_QUERY,IS_VALID,MATCH,NUM_FILTERS_EXP,FILTERS_EXP,OPERATORS_EXP,VALUES_EXP,NUM_FILTERS_ACT,FILTERS_ACT,OPERATORS_ACT,VALUES_ACT
128,"I'm looking for maintenance orders that were initiated between September 2, 2019 and September 6, 2019, and are currently in the 'Transport On Hold' phase.",F,FilterCriteria does not match.,NUM_FILTERS,FILTERS,OPERATORS,VALUES,NUM_FILTERS,FILTERS,OPERATORS,VALUES
,,,SelectProperties does not match.,3,MaintOrderCreationDateTime,ge,datetimeoffset'2019-09-02T00:00:00',3,MaintenanceOrderCreationDateTime,gt,datetime'2019-09-02T00:00:00'
,,,,,MaintOrderCreationDateTime,le,datetimeoffset'2019-09-06T00:00:00',,MaintenanceOrderCreationDateTime,lt,datetime'2019-09-06T23:59:59'
,,,,,ConcatenatedOrderPhaseCtrlText,eq,'TOH',,,,
150,"Can you show me the data for the maintenance orders scheduled to start between March 9, 2029 and June 8, 2029, specifically for the guest bedroom?",F,FilterCriteria does not match.,NUM_FILTERS,FILTERS,OPERATORS,VALUES,NUM_FILTERS,FILTERS,OPERATORS,VALUES
,,,SelectProperties does not match.,3,MaintOrdSchedBscStartDateTime,ge,datetimeoffset'2029-03-09T00:00:00',3,MaintOrdSchedBasicStartDateTime,gt,datetime'2029-03-09T00:00:00'
,,,,,MaintOrdSchedBscStartDateTime,le,datetimeoffset'2029-06-08T00:00:00',,MaintOrdSchedBasicStartDateTime,lt,datetime'2029-06-08T23:59:59'
,,,,,AssetRoom,eq,'GuestBedroom',,,,
159,"I require the information on the object labeled as Object008, which had maintenance orders referenced from March 26, 2019 onwards but not beyond March 31, 2019.",F,FilterCriteria does not match.,NUM_FILTERS,FILTERS,OPERATORS,VALUES,NUM_FILTERS,FILTERS,OPERATORS,VALUES
,,,SelectProperties does not match.,3,TechnicalObjectLabel,eq,'Object008',3,MaintOrderReferenceDate,ge,2019-03-26
,,,,,MaintOrderReferenceDateTime,ge,datetimeoffset'2019-03-26T00:00:00',,MaintOrderReferenceDate,le,2019-03-31
,,,,,MaintOrderReferenceDateTime,le,datetimeoffset'2019-03-31T00:00:00',,TechnicalObject,eq,'Object008'
163,"Can you pull the maintenance orders that were placed between March 21, 2022, and May 20, 2022, and where the maintenance revision number is 22?",F,FilterCriteria does not match.,NUM_FILTERS,FILTERS,OPERATORS,VALUES,NUM_FILTERS,FILTERS,OPERATORS,VALUES
,,,SelectProperties does not match.,3,MaintOrderReferenceDateTime,ge,datetimeoffset'2022-03-21T00:00:00',3,MaintOrderCreationDateTime,gt,datetime'2022-03-21T00:00:00'
,,,,,MaintOrderReferenceDateTime,le,datetimeoffset'2022-05-20T00:00:00',,MaintOrderCreationDateTime,lt,datetime'2022-05-20T23:59:59'
,,,,,MaintenanceRevision,eq,'22',,MaintenanceRevision,eq,'22'
173,"Could you please show me the maintenance orders that are planned and have an end date and time between May 12, 2027 and August 5, 2027?",F,FilterCriteria does not match.,NUM_FILTERS,FILTERS,OPERATORS,VALUES,NUM_FILTERS,FILTERS,OPERATORS,VALUES
,,,SelectProperties does not match.,3,MaintOrdBasicEndDateTime,le,datetimeoffset'2027-08-05T00:00:00',3,MaintOrdBasicEndDateTime,gt,datetime'2027-05-12T00:00:00'
